Src-Tgt,NodeName,c_Index
0,[kidney loop of Henle thin ascending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001107),1
1,SH3GL3,1
2,[kidney loop of Henle thin ascending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001107),2
3,PLCB1,2
4,[kidney loop of Henle thin ascending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001107),3
5,LGR4,3
6,[kidney loop of Henle thin ascending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001107),4
7,BICDL1,4
8,[kidney loop of Henle thin ascending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001107),5
9,PAX8,5
10,[kidney loop of Henle thin ascending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001107),6
11,MAL,6
12,[kidney loop of Henle thin ascending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001107),7
13,CACNA2D3,7
14,[kidney loop of Henle thin ascending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001107),8
15,CDR2,8
16,[kidney loop of Henle thin ascending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001107),9
17,PTPN14,9
18,[kidney loop of Henle thin ascending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001107),10
19,PKHD1,10
20,[kidney connecting tubule epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000768),11
21,LINC01099,11
22,[kidney connecting tubule epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000768),12
23,PDE4D,12
24,[kidney connecting tubule epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000768),13
25,NR3C2,13
26,[kidney connecting tubule epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000768),14
