,Unnamed: 0,OBO Ontology ID,Markers
0,0,[kidney loop of Henle thin ascending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001107),SH3GL3
1,0,[kidney loop of Henle thin ascending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001107),PLCB1
2,0,[kidney loop of Henle thin ascending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001107),LGR4
3,0,[kidney loop of Henle thin ascending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001107),BICDL1
4,0,[kidney loop of Henle thin ascending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001107),PAX8
5,0,[kidney loop of Henle thin ascending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001107),MAL
6,0,[kidney loop of Henle thin ascending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001107),CACNA2D3
7,0,[kidney loop of Henle thin ascending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001107),CDR2
8,0,[kidney loop of Henle thin ascending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001107),PTPN14
9,0,[kidney loop of Henle thin ascending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001107),PKHD1
10,1,[kidney connecting tubule epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000768),LINC01099
11,1,[kidney connecting tubule epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000768),PDE4D
12,1,[kidney connecting tubule epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000768),NR3C2
13,1,[kidney connecting tubule epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000768),SCN2A
14,1,[kidney connecting tubule epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000768),CADPS2
15,1,[kidney connecting tubule epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000768),COBLL1
16,1,[kidney connecting tubule epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000768),TOX3
17,1,[kidney connecting tubule epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000768),DCDC2
18,1,[kidney connecting tubule epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000768),SLC14A2
19,1,[kidney connecting tubule epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000768),ABTB2
20,2,[kidney loop of Henle thin descending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001111),MYO9A
21,2,[kidney loop of Henle thin descending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001111),LINC01320
22,2,[kidney loop of Henle thin descending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001111),FOXP2
23,2,[kidney loop of Henle thin descending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001111),PAX8
24,2,[kidney loop of Henle thin descending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001111),BICC1
25,2,[kidney loop of Henle thin descending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001111),OXR1
26,2,[kidney loop of Henle thin descending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001111),PKHD1
27,3,[kidney distal convoluted tubule epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000849),SLC12A3
28,3,[kidney distal convoluted tubule epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000849),CACNA1D
29,3,[kidney distal convoluted tubule epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000849),LINC01055
30,3,[kidney distal convoluted tubule epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000849),ARHGAP6
31,3,[kidney distal convoluted tubule epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000849),FGF13
32,3,[kidney distal convoluted tubule epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000849),TRPM6
33,3,[kidney distal convoluted tubule epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000849),TRPM7
34,3,[kidney distal convoluted tubule epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000849),ESRRG
35,3,[kidney distal convoluted tubule epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000849),ATP1A1
36,3,[kidney distal convoluted tubule epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000849),LINC01762
37,4,[endothelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000115),SHANK3
38,4,[endothelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000115),ADGRL4
